avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16752,RB,41.95,8.59908,FALSE,0.195000000000007,33.8,52.9,-159.1,-146.16,-175.68,433,409,445,78,23,-131.75,248,Isaiah,Davis,NYJ,RB,24,-4,259.94,77.13,6.3,284.56,ADP.tsv,NA,31.6805,ADP.tsv,NA,NA,0.768,0.768,21161,284.56,203,358,78
robust,11367,RB,41.755,4.47745199999999,FALSE,1.24356272968474,36.695,49.981,-159.295,-143.265,-178.599,434,404,449,79,23,-131.945,249,Kyle,Juszczyk,SFO,RB,35,7,327.31,95.44,19.07,281.73,ADP.tsv,NA,10.3875,ADP.tsv,NA,NA,NA,NA,11911,281.73,326,358,4
robust,17652,RB,40.5114372703153,24.2539154020204,FALSE,0.0114372703152554,5.83728745406305,67.23,-160.538562729685,-174.122712545937,-161.35,438,514,424,80,23,-133.188562729685,255,Adam,Randall,BAL,RB,22,-6,285.27,84.59,7.27,279.48,ADP.tsv,NA,36.4976,ADP.tsv,NA,NA,1.98,1.98,22960,279.48,177,359,91
robust,15258,RB,40.5,8.1000,TRUE,0.799999999999997,40.5,40.5,-160.55,-139.46,-188.08,439,390,471,81,23,-133.2,256,Michael,Carter,TEN,RB,27,-1,344.38,107.29,26.25,280.76,ADP.tsv,NA,0.0000,ADP.tsv,NA,NA,2.304,NA,18828,280.76,199,199,1
robust,17069,RB,39.7,7.9400,TRUE,0.300000000000004,39.7,39.7,-161.35,-140.26,-188.88,441,396,475,82,23,-134,258,Jaydon,Blue,PHI,RB,22,-5,259.88,80.36,16.25,220.85,ADP.tsv,190.88,43.2436,ADP.tsv,NA,250.12,2.88,NA,22092,220.85,109,350,238
robust,17055,RB,39.4,12.30558,FALSE,0.350000000000001,24.42,99.42,-161.65,-155.54,-129.16,443,437,341,83,23,-134.3,259,Jordan,James,SFO,RB,22,-5,255.6,76.11,9.45,235.07,ADP.tsv,173.93,27.4889,ADP.tsv,4.97,269.07,2.208,2.208,22097,235.07,163,318,265
robust,16432,RB,39.05,45.36756,FALSE,1.55,6.06,81.96,-162,-173.9,-146.62,444,513,393,84,23,-134.65,263,Emanuel,Wilson,SEA,RB,27,-3,224.04,68.69,8.57,271.11,ADP.tsv,NA,40.7035,ADP.tsv,NA,NA,1.704,1.704,21001,271.11,139,348,116
robust,14079,RB,37.5,7.5000,TRUE,2.05,37.5,37.5,-163.55,-142.46,-191.08,447,402,480,85,23,-136.2,266,Miles,Sanders,FA,RB,29,1,410.6,141.5,35.31,,,NA,,,NA,NA,NA,NA,,,,,
robust,17061,RB,35.45,6.07865999999999,FALSE,0.549999999999997,19.96,42.42,-165.6,-160,-186.16,452,451,464,86,23,-138.25,274,LeQuint,Allen,JAC,RB,22,-5,273.52,80.73,7.43,279.99,ADP.tsv,NA,34.6477,ADP.tsv,NA,NA,0,NA,22090,279.99,177,353,106
robust,16595,RB,34.9,6.07865999999999,FALSE,1.40000000000001,23.67,41.49,-166.15,-156.29,-187.09,455,438,466,87,24,-138.8,275,Audric,Estime,NOS,RB,23,-4,313.7,94.15,8.5,282.76,ADP.tsv,NA,30.8728,ADP.tsv,NA,NA,NA,NA,21134,282.76,238,358,15
robust,17337,RB,33.5,6.7000,TRUE,0.649999999999999,33.5,33.5,-167.55,-146.46,-195.08,456,411,490,88,24,-140.2,280,Zavier,Scott,CHI,RB,27,-3,456,127.22,12.53,281.16,ADP.tsv,NA,0.0000,ADP.tsv,NA,NA,NA,NA,20829,281.16,337,337,1
robust,17475,RB,32.85,4.59606,FALSE,1.5,27.62,40.16,-168.2,-152.34,-188.42,457,426,474,89,24,-140.85,283,Seth,McGowan,IND,RB,25,-6,251.32,76.12,11.04,237.5,ADP.tsv,NA,34.6833,ADP.tsv,NA,NA,1.67733333333333,1.71432033827468,22945,237.5,160,355,258
robust,17059,RB,31.35,2.59455,FALSE,2.275,17.84,47.72,-169.7,-162.12,-180.86,459,461,453,90,24,-142.35,288,Ollie,Gordon,MIA,RB,22,-5,245.48,73.56,7.22,278.26,ADP.tsv,NA,32.9513,ADP.tsv,NA,NA,0,NA,22071,278.26,193,360,104
robust,16385,RB,29.075,6.81996,FALSE,0.75,22.66,42.49,-171.975,-157.3,-186.09,466,444,463,91,24,-144.625,294,Emari,Demercado,DAL,RB,27,-3,288.44,86.47,8.88,267.86,ADP.tsv,NA,38.7661,ADP.tsv,NA,NA,1.392,1.392,20719,267.86,154,358,143
