avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,16419,K,114.517613981763,16.0285919750231,FALSE,3.81361398176291,92.952,126.560552927184,-50.1313288331836,-53.2955,-50.3075095220144,185,183,189,31,7,NA,NA,Andre,Szmyt,CLE,K,28,-3,320,30.68,1.87,288.93,ADP.tsv,NA,27.1654,ADP.tsv,NA,NA,0,NA,2963,288.93,231,359,58
robust,17434,K,110.704,24.8839584,FALSE,12.9408690476191,95.5984,125.8096,-53.9449428149465,-50.6491,-51.0584624491983,191,176,190,32,8,NA,NA,Ben,Sauls,FA,K,25,-5,298,28.45,2.61,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,17736,K,97.7631309523809,55.5360967670886,FALSE,57.7631309523809,38.74855,147.785446292948,-66.8858118625655,-107.49895,-29.0826161562507,213,287,143,33,9,NA,NA,Dominic,Zvada,NYG,K,23,-6,349,29.39,5.24,284.99,ADP.tsv,NA,26.8532,ADP.tsv,NA,NA,0,NA,2976,284.99,226,358,81
robust,16286,K,40,4.0000,TRUE,10,40,40,-124.648942814946,-106.2475,-136.868062449198,343,278,368,34,10,NA,NA,Jake,Moody,BAL,K,27,-3,319,31.38,5.12,254.84,ADP.tsv,NA,25.5999,ADP.tsv,NA,NA,NA,NA,2958,254.84,158,300,228
robust,17424,K,30,3.0000,TRUE,1,30,30,-134.648942814946,-116.2475,-146.868062449198,373,325,394,35,10,NA,NA,Charlie,Smyth,NOS,K,25,-4,284.54,20.36,5.3,278.12,ADP.tsv,NA,30.8381,ADP.tsv,NA,NA,NA,NA,2974,278.12,159,316,108
robust,11947,K,29,2.9000,TRUE,1,29,29,-135.648942814946,-117.2475,-147.868062449198,377,327,395,36,10,NA,NA,Brandon,McManus,FA,K,35,6,304.6,29.82,5.84,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,13347,K,29,2.9000,TRUE,0,29,29,-135.648942814946,-117.2475,-147.868062449198,377,327,395,36,10,NA,NA,Zane,Gonzalez,FA,K,31,3,292.89,25.18,5.01,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,15882,K,28,2.8000,TRUE,1,28,28,-136.648942814946,-118.2475,-148.868062449198,378,331,397,37,10,NA,NA,Cade,York,FA,K,25,-2,NA,36.86,2.9,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,13832,K,27,2.7000,TRUE,10,27,27,-137.648942814946,-119.2475,-149.868062449198,384,333,398,38,11,NA,NA,Jason,Sanders,NYJ,K,31,2,355.5,29.7,4.01,289.07,ADP.tsv,NA,25.3696,ADP.tsv,NA,NA,NA,NA,2975,289.07,237,359,68
robust,13980,K,17,1.7000,TRUE,6,17,17,-147.648942814946,-129.2475,-159.868062449198,407,367,420,39,11,NA,NA,Mike,Badgley,FA,K,31,2,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,13403,K,11,1.1000,TRUE,2,11,11,-153.648942814946,-135.2475,-165.868062449198,420,379,427,40,12,NA,NA,Younghoe,Koo,FA,K,32,3,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,16405,K,9,0.9000,TRUE,2,9,9,-155.648942814946,-137.2475,-167.868062449198,426,386,430,41,12,NA,NA,John Parker,Romo,FA,K,29,-2,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,16775,K,9,0.9000,TRUE,0,9,9,-155.648942814946,-137.2475,-167.868062449198,426,386,430,41,12,NA,NA,Joshua,Karty,FA,K,24,-4,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,9694,K,7,0.7000,TRUE,1,7,7,-157.648942814946,-139.2475,-169.868062449198,430,389,433,42,12,NA,NA,Graham,Gano,FA,K,39,11,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
robust,14426,K,6,0.6000,TRUE,1,6,6,-158.648942814946,-140.2475,-170.868062449198,432,395,435,43,12,NA,NA,Matthew,Wright,BUF,K,30,1,NA,NA,NA,282.1,ADP.tsv,NA,20.9711,ADP.tsv,NA,NA,NA,NA,2959,282.1,225,329,87
robust,8930,K,5,0.5000,TRUE,0,5,5,-159.648942814946,-141.2475,-171.868062449198,435,399,438,44,12,NA,NA,Matt,Prater,FA,K,42,14,NA,NA,NA,281.84,ADP.tsv,NA,2.5969,ADP.tsv,NA,NA,NA,NA,20265,281.84,349,357,4
